checked_at_kst,object_type,geometry_source,attribute_source,geometry_key,attribute_key,comparison,geometry_rows,attribute_rows,geometry_null_count,attribute_null_count,geometry_distinct_count,attribute_distinct_count,intersection_distinct,geometry_match_count,attribute_match_count,geometry_match_rate,attribute_match_rate,geometry_duplicate_key_rows,attribute_duplicate_key_rows,cardinality,classification,leading_zero_count_geometry,leading_zero_count_attribute,whitespace_count_geometry,whitespace_count_attribute,normalization_changed_match_rate,recommended,notes
2026-07-23T22:09:07+09:00,building,/members/dhnyu/fusedata/seoul/seoul_buildings_vworld.gpkg,/members/dhnyu/fusedata/seoul/seoul_buildings_vworld_attributes.parquet,building_id,building_id,동일 컬럼명,723875,723875,0,0,723875,723875,723875,723875,723875,1.0,1.0,0,0,one-to-one,확정적 1:1 조인 가능,0,0,0,0,False,True,비교 정규화는 문자열 변환과 양끝 공백 제거만 적용; 원본 미변경
2026-07-23T22:09:09+09:00,poi,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.parquet,NF_ID,NF_ID,동일 ID형 컬럼명,498828,498828,0,0,498828,498828,498828,498828,498828,1.0,1.0,0,0,one-to-one,확정적 1:1 조인 가능,0,0,0,0,False,True,비교 정규화는 문자열 변환과 양끝 공백 제거만 적용; 원본 미변경
2026-07-23T22:09:10+09:00,poi,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.parquet,REFRN_ID,REFRN_ID,동일 ID형 컬럼명,498828,498828,0,0,216108,216108,216108,498828,498828,1.0,1.0,367604,367604,many-to-many,복합키 필요,0,0,0,0,False,False,비교 정규화는 문자열 변환과 양끝 공백 제거만 적용; 원본 미변경
2026-07-23T22:09:11+09:00,poi,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.parquet,CLUSTER_ID,CLUSTER_ID,동일 ID형 컬럼명,498828,498828,0,0,498828,498828,498828,498828,498828,1.0,1.0,0,0,one-to-one,확정적 1:1 조인 가능,0,0,0,0,False,False,비교 정규화는 문자열 변환과 양끝 공백 제거만 적용; 원본 미변경
2026-07-23T22:09:13+09:00,poi,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.parquet,REPRESENTATIVE_NF_ID,REPRESENTATIVE_NF_ID,동일 ID형 컬럼명,498828,498828,0,0,498828,498828,498828,498828,498828,1.0,1.0,0,0,one-to-one,확정적 1:1 조인 가능,0,0,0,0,False,False,비교 정규화는 문자열 변환과 양끝 공백 제거만 적용; 원본 미변경
