checked_at_kst,source_path,source_kind,layer_name,column_name,data_type,row_count,null_count,null_rate,distinct_count,duplicate_nonnull_count,empty_string_count,whitespace_only_count,pseudo_missing_count,leading_zero_count,min,max,mean,std,q01,q25,q50,q75,q99,negative_count,zero_count,nonfinite_count,id_candidate,join_candidate,compression,notes
2026-07-23T22:08:42+09:00,/members/dhnyu/fusedata/seoul/seoul_itslink.gpkg,GeoPackage,seoul_itslink,C.ITS,object,66854,0,0.0,2,66852,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:42+09:00,/members/dhnyu/fusedata/seoul/seoul_itslink.gpkg,GeoPackage,seoul_itslink,LENGTH,float64,66854,0,0.0,66740,114,,,,,0.137002079363,998.758027416502,95.91939838206767,115.32768459498232,8.983379600353791,12.5841178264765,58.3648095762815,125.410869572235,526.1663560887696,0,0,0,False,False,,
2026-07-23T22:08:42+09:00,/members/dhnyu/fusedata/seoul/seoul_itslink.gpkg,GeoPackage,seoul_itslink,UPDATEDATE,object,66854,0,0.0,13,66841,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:42+09:00,/members/dhnyu/fusedata/seoul/seoul_itslink.gpkg,GeoPackage,seoul_itslink,REMARK,object,66854,65473,0.9793430460406258,1,1380,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:42+09:00,/members/dhnyu/fusedata/seoul/seoul_itslink.gpkg,GeoPackage,seoul_itslink,HIST_TYPE,object,66854,978,0.014628892811200526,6,65870,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:42+09:00,/members/dhnyu/fusedata/seoul/seoul_itslink.gpkg,GeoPackage,seoul_itslink,HISTREMARK,object,66854,46011,0.6882310706913572,9590,11253,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:43+09:00,/members/dhnyu/fusedata/seoul/seoul_itsnode.gpkg,GeoPackage,seoul_itsnode,NODE_ID,object,48748,0,0.0,48748,0,0,0,0,0,,,,,,,,,,,,,True,True,,
2026-07-23T22:08:43+09:00,/members/dhnyu/fusedata/seoul/seoul_itsnode.gpkg,GeoPackage,seoul_itsnode,NODE_TYPE,object,48748,0,0.0,7,48741,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:43+09:00,/members/dhnyu/fusedata/seoul/seoul_itsnode.gpkg,GeoPackage,seoul_itsnode,NODE_NAME,object,48748,0,0.0,19378,29370,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:43+09:00,/members/dhnyu/fusedata/seoul/seoul_itsnode.gpkg,GeoPackage,seoul_itsnode,TURN_P,object,48748,0,0.0,2,48746,0,0,0,0,,,,,,,,,,,,,False,False,,
